t	v
3324.0	J30
3328.0	J30
3332.0	J30
3336.0	J30
3340.0	J30
3344.0	J30
3348.0	J30
3352.0	J30
3356.0	J30
3360.0	J30
3364.0	J30
3368.0	J30
3372.0	J30
3376.0	J30
3380.0	J30
3384.0	J30
3388.0	J30
3392.0	J30
3396.0	J30
3400.0	J30
3404.0	J30
3408.0	J30
3412.0	J30
3416.0	J30
3420.0	J30
3424.0	J30
3428.0	J30
3432.0	J30
3436.0	J30
3440.0	J30
3444.0	J30
3448.0	J30
3452.0	J30
3456.0	J30
3460.0	J30
3464.0	J30
3468.0	J30
3472.0	J30
3476.0	J30
3480.0	J30
3484.0	J30
3488.0	J30
3492.0	J30
3496.0	J30
3500.0	J30
3504.0	J30
3508.0	J30
3512.0	J30
3516.0	J30
3520.0	J30
3524.0	J30
3528.0	J30
3532.0	J30
3536.0	J30
3540.0	J30
3544.0	J30
3548.0	J30
3552.0	J30
3556.0	J30
3560.0	J30
3564.0	J30
3568.0	J30
3572.0	J30
3576.0	J30
3580.0	J30
3584.0	J30
3588.0	J30
3592.0	J30
3596.0	J30
3600.0	J30
3604.0	J30
3608.0	J30
3612.0	J30
3616.0	J30
3620.0	J30
3624.0	J30
3628.0	J30
3632.0	J30
3636.0	J30
3640.0	J30
3644.0	J30
3648.0	J30
3652.0	J30
3656.0	J30
3660.0	J30
3664.0	J30
3668.0	J30
3672.0	J30
3676.0	J30
3680.0	J30
3684.0	J30
3688.0	J30
3692.0	J30
3696.0	J30
3700.0	J30
3704.0	J30
3708.0	J30
3712.0	J30
3716.0	J30
3720.0	J30
3724.0	J30
3728.0	J30
3732.0	J30
3736.0	J30
3740.0	J30
3744.0	J30
3748.0	J30
3752.0	J30
3756.0	J30
3760.0	J30
3764.0	J30
3768.0	J30
3772.0	J30
3776.0	J30
3780.0	J30
3784.0	J30
3788.0	J30
3792.0	J30
3796.0	J30
3800.0	J30
3804.0	J30
3808.0	J30
3812.0	J30
3816.0	J30
3820.0	J30
3824.0	J30
3828.0	J30
3832.0	J30
3836.0	J30
3840.0	J30
3844.0	J30
3848.0	J30
3852.0	J30
3856.0	J30
3860.0	J30
3864.0	J30
3868.0	J30
3872.0	J30
3876.0	J30
3880.0	J30
3884.0	J30
3888.0	J30
3892.0	J30
3896.0	J30
3900.0	J30
3904.0	J30
3908.0	J30
3912.0	J30
3916.0	J30
3920.0	J30
3924.0	J30
3928.0	J30
3932.0	J30
3936.0	J30
3940.0	J30
3944.0	J30
3948.0	J30
